Date,Open,High,Low,Close,Adj Close,Volume,Quarter
3/24/2020,369.98999,372.929993,353.029999,357.320007,357.320007,11638700,Q1-20
3/25/2020,361.019989,362,339.170013,342.390015,342.390015,8767200,Q1-20
3/26/2020,344,363.839996,341.730011,362.98999,362.98999,7229600,Q1-20
3/27/2020,359.089996,368.559998,353,357.119995,357.119995,7948800,Q1-20
3/30/2020,363,377.799988,361.170013,370.959991,370.959991,8622000,Q1-20
3/31/2020,367.929993,383.01001,366.440002,375.5,375.5,9366500,Q1-20
4/1/2020,376.049988,380.230011,361.019989,364.079987,364.079987,6672500,Q2-20
4/2/2020,364.079987,370.98999,360.059998,370.079987,370.079987,4592500,Q2-20
4/3/2020,367.470001,370.899994,357.51001,361.76001,361.76001,4860800,Q2-20
4/6/2020,365.220001,380.290009,361.709991,379.959991,379.959991,8183900,Q2-20
4/7/2020,380,381.329987,369.339996,372.279999,372.279999,7046400,Q2-20
4/8/2020,374.01001,378.390015,368.309998,371.119995,371.119995,6908900,Q2-20
4/9/2020,371.059998,372.100006,363.029999,370.720001,370.720001,7711300,Q2-20
4/13/2020,371.309998,400.51001,367.700012,396.720001,396.720001,11692900,Q2-20
4/14/2020,397.5,417.820007,394.850006,413.549988,413.549988,11581000,Q2-20
4/15/2020,413,434.980011,412.25,426.75,426.75,13561200,Q2-20
4/16/2020,437,449.519989,431.609985,439.170013,439.170013,16128700,Q2-20
4/17/2020,431,432,414.700012,422.959991,422.959991,12616300,Q2-20
4/20/2020,435.170013,444.48999,430.559998,437.48999,437.48999,12655800,Q2-20
4/21/2020,444.769989,447,425.600006,433.829987,433.829987,23177600,Q2-20
4/22/2020,429.730011,433,413,421.420013,421.420013,21123800,Q2-20
4/23/2020,419.26001,438.410004,419.26001,426.700012,426.700012,13952300,Q2-20
4/24/2020,425,427.170013,415.880005,424.98999,424.98999,8670400,Q2-20
4/27/2020,425,429,420.839996,421.380005,421.380005,6277500,Q2-20
4/28/2020,419.98999,421,402.910004,403.829987,403.829987,10101200,Q2-20
4/29/2020,399.529999,415.859985,393.600006,411.890015,411.890015,9693100,Q2-20
4/30/2020,410.309998,424.440002,408,419.850006,419.850006,7939400,Q2-20
5/1/2020,415.100006,427.970001,411.730011,415.269989,415.269989,8299900,Q2-20
5/4/2020,417.779999,428.540009,414.869995,428.149994,428.149994,7799100,Q2-20
5/5/2020,427.559998,431,421.559998,424.679993,424.679993,6286300,Q2-20
5/6/2020,429.299988,439.769989,426.390015,434.26001,434.26001,6660700,Q2-20
5/7/2020,436.890015,438.880005,430.660004,436.529999,436.529999,5641900,Q2-20
5/8/2020,434.140015,442,433.640015,435.549988,435.549988,5054300,Q2-20
5/11/2020,436.329987,444.890015,435.559998,440.519989,440.519989,5480300,Q2-20
5/12/2020,442,444.170013,431.359985,431.820007,431.820007,4598200,Q2-20
5/13/2020,435.690002,447,427.269989,438.269989,438.269989,7014600,Q2-20
5/14/2020,444.899994,452.380005,432.820007,441.950012,441.950012,9007500,Q2-20
5/15/2020,440.700012,455,437.51001,454.190002,454.190002,7244000,Q2-20
5/18/2020,451.160004,456.359985,443.350006,452.579987,452.579987,7780300,Q2-20
5/19/2020,453.399994,458.970001,450.470001,451.040009,451.040009,4810500,Q2-20
5/20/2020,454.25,455.809998,444,447.670013,447.670013,5607300,Q2-20
5/21/2020,448.559998,448.959991,430.25,436.25,436.25,9117300,Q2-20
5/22/2020,437,439.089996,427.179993,429.320007,429.320007,5422300,Q2-20
5/26/2020,427.769989,428.5,413.140015,414.769989,414.769989,7881100,Q2-20
5/27/2020,410.380005,420.019989,397.859985,419.890015,419.890015,10446300,Q2-20
5/28/2020,417.23999,422.369995,411.5,413.440002,413.440002,5655100,Q2-20
5/29/2020,417.459991,420.299988,411.850006,419.730011,419.730011,5270500,Q2-20
6/1/2020,418.829987,426.720001,415.980011,425.920013,425.920013,3743700,Q2-20
6/2/2020,425.869995,427.589996,419.459991,427.309998,427.309998,3494800,Q2-20
6/3/2020,426.950012,427.100006,418.049988,421.970001,421.970001,4316000,Q2-20
6/4/2020,422.390015,428.709991,410.029999,414.329987,414.329987,5410500,Q2-20
6/5/2020,407.290009,420.23999,404.25,419.600006,419.600006,5099600,Q2-20
6/8/2020,416,420.799988,406.5,419.48999,419.48999,5851500,Q2-20
6/9/2020,421.649994,434.730011,420.309998,434.049988,434.049988,6797000,Q2-20
6/10/2020,436,439.690002,430.549988,434.480011,434.480011,4896900,Q2-20
6/11/2020,428.200012,445.570007,424.160004,425.559998,425.559998,7462900,Q2-20
6/12/2020,429,434.059998,412.450012,418.070007,418.070007,6457400,Q2-20
6/15/2020,421.399994,426.48999,415.420013,425.5,425.5,4467900,Q2-20
6/16/2020,425.76001,437.959991,425.179993,436.130005,436.130005,5507900,Q2-20
6/17/2020,441.820007,450.459991,439.220001,447.769989,447.769989,6522400,Q2-20
6/18/2020,448.730011,452.76001,442.799988,449.869995,449.869995,4277600,Q2-20
6/19/2020,449.119995,453.970001,445.600006,453.720001,453.720001,5934500,Q2-20
6/22/2020,455.01001,468.589996,454.209991,468.040009,468.040009,6272100,Q2-20
6/23/2020,466.5,474.01001,464.5,466.26001,466.26001,5948400,Q2-20
6/24/2020,468.540009,472.359985,454,457.850006,457.850006,4826200,Q2-20
6/25/2020,458.859985,467.01001,454,465.910004,465.910004,4134500,Q2-20
6/26/2020,466.390015,468.029999,442.23999,443.399994,443.399994,6804700,Q2-20
6/29/2020,445.230011,447.670013,432.140015,447.23999,447.23999,4844000,Q2-20
6/30/2020,450.019989,457.589996,447,455.040009,455.040009,4198500,Q2-20
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
